Date,Value,Anomaly
199307,3.3,0.52
199308,2.77,0.15
199309,2.58,0.09
199310,2.19,0.03
199311,2.12,-0.11
199312,1.96,-0.39
199401,2.24,-0.07
199402,2.15,0.02
199403,2.36,-0.15
199404,2.82,0.3
199405,2.43,-0.48
199406,2.9,-0.03
199407,3.09,0.31
199408,2.54,-0.08
199409,2.14,-0.35
199410,2.86,0.7
199411,2.9,0.67
199412,2.19,-0.16
199501,3.18,0.87
199502,1.6,-0.53
199503,2.99,0.48
199504,2.83,0.31
199505,4.1,1.19
199506,3.23,0.3
199507,2.65,-0.13
199508,2.66,0.04
199509,2.2,-0.29
199510,2.63,0.47
199511,2.37,0.14
199512,2.25,-0.1
199601,2.82,0.51
199602,1.89,-0.24
199603,2.24,-0.27
